No.,Timestamp,Berat
738,06:44:45:535,93.04
739,06:44:45:738,92.54
740,06:44:45:925,91.64
741,06:44:46:112,91.14
742,06:44:46:315,90.84
743,06:44:46:502,90.74
744,06:44:46:690,90.64
745,06:44:46:892,90.54
746,06:44:47:080,90.64
747,06:44:47:267,90.64
748,06:44:47:470,90.64
749,06:44:47:657,90.54
750,06:44:47:860,90.54
751,06:44:48:047,90.74
752,06:44:48:234,90.74
753,06:44:48:421,90.64
754,06:44:48:624,90.54
755,06:44:48:811,90.64
756,06:44:48:998,90.74
757,06:44:49:186,90.84
758,06:44:49:388,90.74
759,06:44:49:576,90.74
760,06:44:49:763,90.74
761,06:44:49:966,90.64
762,06:44:50:153,90.64
763,06:44:50:340,90.54
764,06:44:50:543,90.54
765,06:44:50:730,90.44
766,06:44:50:917,90.44
767,06:44:51:120,90.44
768,06:44:51:307,90.34
769,06:44:51:510,90.24
770,06:44:51:697,90.44
771,06:44:51:884,90.24
772,06:44:52:072,90.14
773,06:44:52:274,90.24
774,06:44:52:477,90.24
775,06:44:52:649,90.14
776,06:44:52:852,90.24
777,06:44:53:039,90.24
778,06:44:53:226,90.24
779,06:44:53:429,90.24
780,06:44:53:616,90.04
781,06:44:53:788,89.94
782,06:44:53:990,89.84
783,06:44:54:178,89.94
784,06:44:54:365,89.74
785,06:44:54:552,89.84
786,06:44:54:755,89.64
787,06:44:54:942,89.54
788,06:44:55:114,89.54
789,06:44:55:316,89.64
790,06:44:55:504,89.84
791,06:44:55:691,90.04
792,06:44:55:894,90.04
793,06:44:56:081,90.04
794,06:44:56:268,90.14
795,06:44:56:471,90.24
796,06:44:56:658,90.34
797,06:44:56:830,90.34
798,06:44:57:033,90.24
799,06:44:57:220,90.44
800,06:44:57:391,90.44
801,06:44:57:594,90.54
802,06:44:57:781,90.64
803,06:44:57:969,90.64
804,06:44:58:171,90.74
805,06:44:58:359,90.74
806,06:44:58:561,90.84
807,06:44:58:749,90.74
808,06:44:58:936,90.94
809,06:44:59:139,91.04
810,06:44:59:326,91.04
811,06:44:59:513,91.14
812,06:44:59:700,91.24
813,06:44:59:887,91.24
814,06:45:00:075,91.24
815,06:45:00:262,91.14
816,06:45:00:449,91.24
817,06:45:00:652,91.34
818,06:45:00:839,91.34
819,06:45:01:026,91.34
820,06:45:01:229,91.44
821,06:45:01:416,91.54
822,06:45:01:603,91.54
823,06:45:01:806,91.74
824,06:45:02:009,91.84
825,06:45:02:181,91.74
826,06:45:02:383,91.74
827,06:45:02:571,91.84
828,06:45:02:758,92.04
829,06:45:02:976,92.14
830,06:45:03:132,92.14
831,06:45:03:335,92.04
832,06:45:03:522,92.14
833,06:45:03:709,92.24
834,06:45:03:897,92.34
835,06:45:04:099,92.34
836,06:45:04:287,92.34
837,06:45:04:474,92.54
838,06:45:04:661,92.54
839,06:45:04:864,92.74
840,06:45:05:051,92.74
841,06:45:05:223,92.94
842,06:45:05:425,92.94
843,06:45:05:628,92.94
844,06:45:05:800,92.94
845,06:45:06:018,92.94
846,06:45:06:190,93.04
847,06:45:06:377,93.14
848,06:45:06:580,93.14
849,06:45:06:783,93.14
850,06:45:06:954,93.24
851,06:45:07:173,93.24
852,06:45:07:344,93.34
853,06:45:07:516,93.44
854,06:45:07:719,93.44
855,06:45:07:921,93.44
